0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/board.png HTTP/1.1" 200 227939
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/bg-header-top.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/bg-header-bottom.png HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:40 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/check.do HTTP/1.1" 200 13474
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:45 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/test2.do HTTP/1.1" 200 43510
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/images/fileUpload.png HTTP/1.1" 200 15687
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:47 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:52 +0900] "POST /controller/saveImage.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:12:21:53 +0900] "GET /controller/resources/img/sk(1).png HTTP/1.1" 200 98514
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/ HTTP/1.1" 200 16351
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/img/ma.png HTTP/1.1" 200 356321
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/img/home.jpg HTTP/1.1" 200 32114
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/img/i.png HTTP/1.1" 200 302823
223.39.249.233 - - [16/Jun/2023:12:22:46 +0900] "GET /controller/resources/img/tree.png HTTP/1.1" 200 106264
223.39.249.233 - - [16/Jun/2023:12:22:47 +0900] "GET /controller/resources/img/person.jpg HTTP/1.1" 200 64027
223.39.249.233 - - [16/Jun/2023:12:22:47 +0900] "GET /controller/resources/img/board.png HTTP/1.1" 200 227939
223.39.249.233 - - [16/Jun/2023:12:22:47 +0900] "GET /controller/resources/img/help.png HTTP/1.1" 200 56571
223.39.249.233 - - [16/Jun/2023:12:22:47 +0900] "GET /controller/resources/img/bg-header-top.png HTTP/1.1" 200 1291
223.39.249.233 - - [16/Jun/2023:12:22:47 +0900] "GET /controller/resources/img/bg-header-bottom.png HTTP/1.1" 200 1427
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/loginPage.do HTTP/1.1" 200 14481
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 10089
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9034
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42772
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 1890
223.39.249.233 - - [16/Jun/2023:12:22:48 +0900] "GET /controller/resources/css/bootstrap.min.css HTTP/1.1" 200 164400
223.39.249.233 - - [16/Jun/2023:12:22:49 +0900] "GET /controller/resources/images/logo_1.png HTTP/1.1" 200 447555
223.39.249.233 - - [16/Jun/2023:12:22:49 +0900] "GET /controller/resources/images/logo.png HTTP/1.1" 200 450272
223.39.249.233 - - [16/Jun/2023:12:22:52 +0900] "GET /controller/kakaoLogin?code=3Dm-MHUk3PvmVmrLBK-Xdz8ufkWEAPAs0Adiv2CuMaVvrApddye1SMeSxPx9ibUiwx64Zwo9cxcAAAGIwjopAQ HTTP/1.1" 302 -
223.39.249.233 - - [16/Jun/2023:12:22:52 +0900] "GET /controller/ HTTP/1.1" 200 16507
223.39.249.233 - - [16/Jun/2023:12:22:52 +0900] "GET /controller/resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
223.39.249.233 - - [16/Jun/2023:12:22:52 +0900] "GET /controller/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2941
